the            : 12509
influence      : 40
felt           : 40
because        : 40
began          : 40
Nuremberg      : 39
designs        : 39
nor            : 39
States         : 39
followed       : 39
Moravia        : 39
advanced       : 39
winter         : 39
monarch        : 39
maintained     : 39
confidence     : 39
Saxon          : 38
Landgrave      : 38
example        : 38
law            : 38
cavalry        : 38
presence       : 38
body           : 38
hastened       : 38
union          : 38
siege          : 38
regiments      : 38
liberty        : 38
garrison       : 38
quarter        : 37
plan           : 37
continued      : 37
determined     : 37
superior       : 37
ever           : 37
required       : 37
obliged        : 37
resolved       : 37
artillery      : 37
Netherlands    : 37
Denmark        : 37
case           : 37
demands        : 36
conduct        : 36
having         : 36
For            : 36
lay            : 36
led            : 36
demanded       : 36
Bohemians      : 36
Oxenstiern     : 36
services       : 36
way            : 36
single         : 36
commanded      : 36
divided        : 36
immediate      : 36
leader         : 36
carried        : 36
circumstances  : 35
secure         : 35
deprived       : 35
mind           : 35
like           : 35
Thus           : 35
entirely       : 35
operations     : 35
defeated       : 35
advantage      : 34
Pappenheim     : 34
weak           : 34
others         : 34
money          : 34
view           : 34
set            : 34
friend         : 34
spirit         : 34
called         : 34
thought        : 34
river          : 34
Elbe           : 34
Prince         : 33
ambition       : 33
want           : 33
how            : 33
ruin           : 33
views          : 33
hereditary     : 33
hostile        : 33
importance     : 33
may            : 33
old            : 33
approach       : 33
resolution     : 33
provinces      : 33
event          : 33
are            : 33
came           : 33
protection     : 32
No             : 32
effect         : 32
entered        : 32
What           : 32
saw            : 32
rapid          : 32
rights         : 32
Archduke       : 32
afterwards     : 32
justice        : 32
capital        : 32
fear           : 32
Horn           : 32
campaign       : 32
during         : 32
thousand       : 31
short          : 31
IV             : 31
able           : 31
driven         : 31
conqueror      : 31
Holland        : 31
private        : 31
Alsace         : 31
forced         : 31
conquest       : 31
And            : 30
These          : 30
we             : 30
Lutzen         : 30
number         : 30
threw          : 30
down           : 30
Even           : 30
career         : 30
liberties      : 30
execution      : 30
hoped          : 30
truce          : 30
leave          : 30
maintain       : 30
reason         : 30
sacrifice      : 30
inhabitants    : 30
carry          : 30
complete       : 30
cut            : 29
revenge        : 29
further        : 29
Torstensohn    : 29
do             : 29
possessions    : 29
mean           : 29
advantages     : 29
suddenly       : 29
brought        : 29
kept           : 29
your           : 29
expected       : 29
numerous       : 29
awaited        : 29
opportunity    : 29
plans          : 29
return         : 29
Poland         : 29
main           : 28
confederates   : 28
form           : 28
Richelieu      : 28
William        : 28
Henry          : 28
blood          : 28
least          : 28
Charles        : 28
indeed         : 28
close          : 28
citizens       : 28
marched        : 28
Friedland      : 28
since          : 28
defend         : 28
became         : 27
year           : 27
Bavarians      : 27
From           : 27
four           : 27
th             : 27
purpose        : 27
Gabor          : 27
Frankfort      : 27
decided        : 27
assembled      : 27
bravery        : 27
ally           : 27
John           : 27
active         : 27
exposed        : 27
fall           : 27
infantry       : 27
past           : 27
ecclesiastical : 27
hatred         : 27
days           : 27
fire           : 27
back           : 26
An             : 26
almost         : 26
fortress       : 26
Rodolph        : 26
greatest       : 26
fearful        : 26
title          : 26
met            : 26
cost           : 26
wing           : 26
protector      : 26
arrival        : 26
always         : 26
eyes           : 26
gates          : 26
excited        : 26
offered        : 26
ready          : 26
character      : 26
territory      : 26
considerable   : 26
given          : 26
cannon         : 26
George         : 26
succeeded      : 26
storm          : 26
length         : 25
numbers        : 25
disposed       : 25
small          : 25
Jesuits        : 25
friends        : 25
offer          : 25
scene          : 25
Mentz          : 25
similar        : 25
frontier       : 25
neither        : 25
brilliant      : 25
house          : 25
subject        : 25
opposed        : 25
share          : 25
ofthe          : 25
rest           : 25
equal          : 25
surrender      : 25
scarcely       : 25
Egra           : 25
seized         : 25
combined       : 25
distrust       : 25
heart          : 25
true           : 25
sought         : 25
expense        : 25
thing          : 24
minister       : 24
oppose         : 24
obtained       : 24
confusion      : 24
supported      : 24
promised       : 24
flight         : 24
Project        : 24
conquered      : 24
despatched     : 24
Germans        : 24
greatness      : 24
opposition     : 24
Thurn          : 24
gain           : 24
perhaps        : 24
sent           : 24
security       : 24
honour         : 24
appearance     : 24
tothe          : 24
directed       : 24
Majesty        : 24
check          : 24
marches        : 24
Brunswick      : 24
just           : 24
increased      : 24
arm            : 24
joined         : 24
drawn          : 24
Their          : 23
estates        : 23
soldier        : 23
contest        : 23
etext          : 23
England        : 23
Transylvania   : 23
cities         : 23
defended       : 23
expectations   : 23
line           : 23
pay            : 23
retired        : 23
bold           : 23
personal       : 23
half           : 23
privileges     : 23
allowed        : 23
Gallas         : 23
self           : 23
demand         : 23
Arnheim        : 23
dispute        : 23
violent        : 23
refused        : 23
enterprise     : 23
obtain         : 23
bring          : 23
chief          : 23
reduced        : 23
public         : 23
aid            : 23
hostilities    : 22
Every          : 22
prudence       : 22
render         : 22
me             : 22
provisions     : 22
has            : 22
laws           : 22
meet           : 22
best           : 22
ill            : 22
Piccolomini    : 22
looked         : 22
motives        : 22
freedom        : 22
raise          : 22
crossed        : 22
our            : 22
terror         : 22
superiority    : 22
resources      : 22
future         : 22
change         : 22
behind         : 22
Augsburg       : 22
possible       : 22
brave          : 22
showed         : 22
junction       : 22
Oder           : 22
Baltic         : 22
ground         : 22
reputation     : 22
V              : 21
allegiance     : 21
next           : 21
sufficient     : 21
hundred        : 21
obedience      : 21
hastily        : 21
failed         : 21
issue          : 21
preparations   : 21
Lorraine       : 21
blow           : 21
council        : 21
Both           : 21
sacred         : 21
justified      : 21
ordered        : 21
opposite       : 21
instead        : 21
ravages        : 21
sudden         : 21
hero           : 21
action         : 21
rear           : 21
Before         : 21
night          : 21
merely         : 21
principal      : 21
rather         : 21
nearly         : 21
Italy          : 21
members        : 21
until          : 21
broke          : 21
natural        : 21
turn           : 20
taking         : 20
prevented      : 20
openly         : 20
faith          : 20
places         : 20
noble          : 20
circle         : 20
advance        : 20
anxiety        : 20
walls          : 20
keep           : 20
brother        : 20
contributions  : 20
arrived        : 20
experienced    : 20
protect        : 20
see            : 20
she            : 20
large          : 20
submission     : 20
owed           : 20
government     : 20
work           : 20
farther        : 20
quickly        : 20
become         : 20
here           : 20
whether        : 20
attachment     : 20
Turenne        : 20
join           : 20
minds          : 20
making         : 20
endeavoured    : 20
neutrality     : 20
confederacy    : 20
activity       : 20
prudent        : 20
oppression     : 20
II             : 19
victories      : 19
triumph        : 19
So             : 19
likely         : 19
rebels         : 19
Bethlen        : 19
Westphalia     : 19
condition      : 19
done           : 19
attacked       : 19
Thuringia      : 19
turned         : 19
receive        : 19
genius         : 19
commenced      : 19
proved         : 19
pressed        : 19
use            : 19
garrisons      : 19
revolt         : 19
Juliers        : 19
Battle         : 19
sides          : 19
won            : 19
indignation    : 19
despair        : 19
doubtful       : 19
promise        : 19
projects       : 19
Calvinists     : 19
effected       : 19
secured        : 19
saved          : 19
province       : 19
chancellor     : 19
intended       : 19
plunder        : 19
weakness       : 19
dead           : 19
stood          : 19
better         : 18
third          : 18
decision       : 18
summoned       : 18
answer         : 18
reached        : 18
Reformation    : 18
Letter         : 18
Mecklenburg    : 18
difficulty     : 18
engaged        : 18
violence       : 18
evil           : 18
Nordlingen     : 18
pride          : 18
spread         : 18
occasion       : 18
availed        : 18
contrary       : 18
consternation  : 18
remonstrances  : 18
Illo           : 18
Wrangel        : 18
safety         : 18
armed          : 18
show           : 18
pressing       : 18
following      : 18
frontiers      : 18
supplies       : 18
design         : 18
friendship     : 18
Wurtzburg      : 18
hold           : 18
firm           : 18
greatly        : 18
thrown         : 18
alarm          : 18
result         : 17
defenceless    : 17
exception      : 17
nation         : 17
discipline     : 17
churches       : 17
surrounded     : 17
late           : 17
weight         : 17
deprive        : 17
Lech           : 17
regarded       : 17
pieces         : 17
besieged       : 17
property       : 17
When           : 17
passage        : 17
indispensable  : 17
Bishop         : 17
allow          : 17
prepared       : 17
along          : 17
none           : 17
come           : 17
negociations   : 17
Council        : 17
system         : 17
six            : 17
fresh          : 17
Bamberg        : 17
neighbouring   : 17
fallen         : 17
formal         : 17
Cologne        : 17
lose           : 17
declared       : 17
attention      : 17
possessed      : 17
dismissal      : 17
adopted        : 17
supreme        : 17
bloody         : 17
adherents      : 17
commander      : 17
renewed        : 17
voice          : 17
Cassel         : 17
attended       : 17
desire         : 17
rapidity       : 17
age            : 17
amidst         : 17
closely        : 17
prisoners      : 17
can            : 17
rival          : 17
easily         : 16
vigorous       : 16
sentence       : 16
world          : 16
Nothing        : 16
different      : 16
peasantry      : 16
distant        : 16
employed       : 16
jealousy       : 16
relief         : 16
gratitude      : 16
whatever       : 16
certain        : 16
promises       : 16
Among          : 16
Cardinal       : 16
duty           : 16
bound          : 16
horse          : 16
regard         : 16
banks          : 16
invincible     : 16
forward        : 16
bishop         : 16
surprise       : 16
shall          : 16
decide         : 16
insurrection   : 16
inevitable     : 16
committed      : 16
strongly       : 16
sacrificed     : 16
retire         : 16
removed        : 16
neighbourhood  : 16
inactive       : 16
Church         : 16
high           : 16
surrendered    : 16
sight          : 16
destruction    : 16
destructive    : 16
rich           : 16
months         : 16
Rome           : 16
abandon        : 16
favoured       : 16
encouraged     : 16
wished         : 16
fled           : 16
bishopric      : 15
times          : 15
Thirty         : 15
imperious      : 15
deputies       : 15
Of             : 15
readily        : 15
us             : 15
get            : 15
follow         : 15
restored       : 15
Terzky         : 15
toleration     : 15
Altringer      : 15
filled         : 15
universal      : 15
Turks          : 15
difficulties   : 15
repose         : 15
pursued        : 15
experience     : 15
Weser          : 15
unlimited      : 15
chiefly        : 15
sincerity      : 15
wish           : 15
Electorate     : 15
heights        : 15
delay          : 15
pretensions    : 15
nature         : 15
vengeance      : 15
flames         : 15
expectation    : 15
rapidly        : 15
often          : 15
countries      : 15
administration : 15
changed        : 15
beyond         : 15
returned       : 15
killed         : 15
afford         : 15
movements      : 15
successor      : 15
centre         : 15
grievances     : 15
granted        : 15
capture        : 15
tone           : 15
election       : 15
venture        : 15
horses         : 15
homage         : 14
silence        : 14
need           : 14
remain         : 14
Pope           : 14
communication  : 14
native         : 14
restore        : 14
opponent       : 14
excellent      : 14
occasioned     : 14
Suabia         : 14
III            : 14
surprised      : 14
declare        : 14
throw          : 14
fury           : 14
above          : 14
excite         : 14
chosen         : 14
vigour         : 14
nobles         : 14
flattered      : 14
Not            : 14
prospect       : 14
drove          : 14
One            : 14
father         : 14
established    : 14
negociation    : 14
moved          : 14
truth          : 14
collected      : 14
glory          : 14
express        : 14
That           : 14
restoration    : 14
ashes          : 14
ambassadors    : 14
oppressed      : 14
complaints     : 14
generalissimo  : 14
relieve        : 14
unexpected     : 14
expenses       : 14
entire         : 14
consequence    : 14
sooner         : 14
opinions       : 14
commands       : 14
advice         : 14
broken         : 14
Sigismund      : 14
daily          : 14
destroyed      : 14
succession     : 14
unable         : 14
weakened       : 14
suspicion      : 14
overrun        : 14
appointed      : 14
famine         : 14
monarchy       : 14
claims         : 14
declaration    : 14
Danish         : 14
together       : 14
movement       : 14
palace         : 14
diversion      : 14
successful     : 14
suffered       : 13
finally        : 13
yielded        : 13
known          : 13
separated      : 13
severe         : 13
Gutenberg      : 13
doctrines      : 13
Years          : 13
extent         : 13
content        : 13
prosperity     : 13
measure        : 13
intention      : 13
actually       : 13
God            : 13
post           : 13
urgent         : 13
threatening    : 13
dreadful       : 13
matter         : 13
situation      : 13
Pilsen         : 13
Lunenburg      : 13
height         : 13
Swabia         : 13
enabled        : 13
Without        : 13
utmost         : 13
draw           : 13
efforts        : 13
remove         : 13
Leopold        : 13
English        : 13
formerly       : 13
induced        : 13
moreover       : 13
Louis          : 13
hours          : 13
speedy         : 13
See            : 13
Maine          : 13
extensive      : 13
increasing     : 13
prevailed      : 13
separate       : 13
Lutherans      : 13
youth          : 13
indifference   : 13
intelligence   : 13
Halle          : 13
Donauwerth     : 13
history        : 13
outrages       : 13
difficult      : 13
afforded       : 13
Halberstadt    : 13
extravagant    : 13
yield          : 13
irresistible   : 13
takes          : 13
original       : 13
justify        : 13
leaders        : 13
plain          : 13
reinforcement  : 13
wounded        : 13
supply         : 13
dollars        : 13
Edict          : 13
away           : 13
assigned       : 13
forces         : 13
desperate      : 13
baggage        : 13
fortresses     : 13
risk           : 13
regiment       : 13
concluded      : 13
manner         : 13
heroic         : 13
encamped       : 13
choice         : 13
passed         : 13
sole           : 13
artful         : 13
Administrator  : 13
Many           : 13
exercise       : 13
nations        : 13
Such           : 13
herself        : 13
energy         : 12
obstacles      : 12
pretext        : 12
Electoral      : 12
bank           : 12
interest       : 12
existence      : 12
conclusion     : 12
proceeded      : 12
died           : 12
co             : 12
renew          : 12
disposition    : 12
Philip         : 12
mere           : 12
emperor        : 12
points         : 12
totally        : 12
drive          : 12
civil          : 12
lead           : 12
expedition     : 12
spared         : 12
particular     : 12
signed         : 12
augment        : 12
attempts       : 12
Francis        : 12
popery         : 12
consideration  : 12
treated        : 12
consequences   : 12
period         : 12
escape         : 12
route          : 12
announced      : 12
officer        : 12
anxious        : 12
avoid          : 12
sentiments     : 12
commencement   : 12
ten            : 12
undertook      : 12
waste          : 12
himthe         : 12
execute        : 12
invited        : 12
lines          : 12
newly          : 12
disputed       : 12
determination  : 12
seen           : 12
terms          : 12
proud          : 12
depended       : 12
fact           : 12
footing        : 12
front          : 12
apprehension   : 12
distinguished  : 12
converted      : 12
refusal        : 12
moderation     : 12
paid           : 12
Colonel        : 12
considerations : 12
entrenchments  : 12
legitimate     : 12
constitution   : 12
appear         : 12
naturally      : 12
family         : 12
furnished      : 12
opponents      : 12
injured        : 12
imposed        : 12
terrified      : 12
traitor        : 12
honourable     : 12
Strasburg      : 12
heavy          : 12
Albert         : 12
extraordinary  : 12
ought          : 12
five           : 12
Lusatia        : 12
morning        : 12
gold           : 11
serious        : 11
reformed       : 11
treatment      : 11
warlike        : 11
fidelity       : 11
across         : 11
trenches       : 11
gradually      : 11
reinforced     : 11
fortunate      : 11
news           : 11
attempted      : 11
fought         : 11
foe            : 11
purchased      : 11
previous       : 11
Styria         : 11
contending     : 11
However        : 11
equivocal      : 11
preponderance  : 11
eight          : 11
cessation      : 11
refuge         : 11
pomp           : 11
respect        : 11
hesitate       : 11
joy            : 11
How            : 11
Koenigsmark    : 11
alive          : 11
cross          : 11
throughout     : 11
conjunction    : 11
mercy          : 11
proposals      : 11
Confession     : 11
relation       : 11
believed       : 11
obstinate      : 11
blind          : 11
marked         : 11
yoke           : 11
Book           : 11
apparently     : 11
account        : 11
favourite      : 11
Saxe           : 11
caused         : 11
posted         : 11
astonishment   : 11
conducted      : 11
convinced      : 11
table          : 11
higher         : 11
uponthe        : 11
standards      : 11
hard           : 11
save           : 11
direction      : 11
dying          : 11
Italian        : 11
destroy        : 11
fears          : 11
inroad         : 11
usual          : 11
proof          : 11
conclude       : 11
Breysach       : 11
necessities    : 11
intrusted      : 11
unite          : 11
disgraceful    : 11
things         : 11
War            : 11
beginning      : 11
dissolved      : 11
Under          : 11
fruitless      : 11
repair         : 11
according      : 11
enjoyed        : 11
real           : 11
Yet            : 11
century        : 11
extreme        : 11
individual     : 11
acknowledged   : 11
Holstein       : 11
opening        : 11
Stralsund      : 11
exertions      : 11
served         : 11
twenty         : 11
History        : 11
agreement      : 11
intentions     : 11
absolute       : 11
himto          : 11
generally      : 11
circumstance   : 11
aggrandizement : 11
Munich         : 11
covered        : 11
devoted        : 11
dangers        : 11
assault        : 11
tumult         : 11
ban            : 11
deliberations  : 11
weaker         : 11
besides        : 10
question       : 10
shown          : 10
majesty        : 10
guarded        : 10
scattered      : 10
ingratitude    : 10
treat          : 10
exasperated    : 10
driving        : 10
completely     : 10
produced       : 10
sums           : 10
matters        : 10
dreaded        : 10
tears          : 10
recalled       : 10
James          : 10
inactivity     : 10
million        : 10
bishoprics     : 10
land           : 10
induce         : 10
confirmed      : 10
subsidies      : 10
interior       : 10
passions       : 10
although       : 10
seize          : 10
embarrassment  : 10
fertile        : 10
Had            : 10
distance       : 10
ardour         : 10
founded        : 10
works          : 10
impetuosity    : 10
successfully   : 10
Its            : 10
possessionof   : 10
regency        : 10
Restitution    : 10
villages       : 10
Werth          : 10
worthy         : 10
division       : 10
invested       : 10
project        : 10
bitter         : 10
Treves         : 10
Lauenburg      : 10
burdens        : 10
voluntarily    : 10
ventured       : 10
giving         : 10
millions       : 10
reception      : 10
Hungarian      : 10
obligations    : 10
hurried        : 10
Venice         : 10
defiance       : 10
absence        : 10
glorious       : 10
abuse          : 10
neighbour      : 10
frightful      : 10
commission     : 10
withthe        : 10
anew           : 10
desired        : 10
cabinet        : 10
tedious        : 10
Here           : 10
Scarcely       : 10
midst          : 10
colours        : 10
penetrated     : 10
seven          : 10
look           : 10
terminate      : 10
agreed         : 10
During         : 10
undertaking    : 10
Two            : 10
recovered      : 10
severity       : 10
prove          : 10
keeping        : 10
Though         : 10
belief         : 10
occupied       : 10
courts         : 10
treasures      : 10
Weissenfels    : 10
rejected       : 10
particularly   : 10
events         : 10
electoral      : 10
assembly       : 10
principles     : 10
cover          : 10
firmly         : 10
invasion       : 10
satisfaction   : 10
repeated       : 10
shut           : 10
Accordingly    : 10
routed         : 10
involved       : 10
advancing      : 10
easy           : 10
human          : 10
feel           : 10
enters         : 10
flying         : 10
impetuous      : 10
wounds         : 10
effects        : 10
solemn         : 10
recover        : 10
arbitrary      : 10
assured        : 10
hour           : 10
offended       : 10
increase       : 10
Danes          : 10
suspicious     : 10
await          : 10
overcome       : 10
wishes         : 10
Ingolstadt     : 9
amounted       : 9
ammunition     : 9
publicly       : 9
balance        : 9
nobility       : 9
zealous        : 9
allied         : 9
ministry       : 9
opinion        : 9
understanding  : 9
submit         : 9
diet           : 9
foot           : 9
de             : 9
schemes        : 9
author         : 9
station        : 9
stratagem      : 9
considered     : 9
wrested        : 9
disarmed       : 9
defenders      : 9
rebellion      : 9
Ecclesiastical : 9
urged          : 9
daughter       : 9
pursuit        : 9
expressly      : 9
report         : 9
Polish         : 9
accept         : 9
spoke          : 9
defection      : 9
ambitious      : 9
Death          : 9
Against        : 9
season         : 9
banished       : 9
Second         : 9
splendour      : 9
residence      : 9
Neither        : 9
chimerical     : 9
fully          : 9
permitted      : 9
houses         : 9
Romish         : 9
timely         : 9
direct         : 9
humanity       : 9
delayed        : 9
drew           : 9
lands          : 9
willing        : 9
Anhalt         : 9
wild           : 9
independent    : 9
tribunal       : 9
European       : 9
instrument     : 9
Now            : 9
light          : 9
disarm         : 9
dignities      : 9
intrepid       : 9
serve          : 9
dependent      : 9
magnanimity    : 9
jealous        : 9
holding        : 9
relations      : 9
highly         : 9
tranquillity   : 9
concerted      : 9
ranks          : 9
terminated     : 9
daring         : 9
resolve        : 9
corps          : 9
embraced       : 9
overwhelming   : 9
Conde          : 9
word           : 9
grave          : 9
implacable     : 9
narrow         : 9
double         : 9
relieved       : 9
denied         : 9
fromthe        : 9
furnish        : 9
justly         : 9
disputes       : 9
knew           : 9
feeling        : 9
squadrons      : 9
neighbours     : 9
securing       : 9
deeply         : 9
revenues       : 9
miseries       : 9
immense        : 9
insurgents     : 9
deliver        : 9
steps          : 9
feared         : 9
theatre        : 9
something      : 9
thereby        : 9
equality       : 9
fail           : 9
fame           : 9
choose         : 9
read           : 9
shattered      : 9
completed      : 9
predecessor    : 9
stripped       : 9
national       : 9
unsuccessful   : 9
Guebriant      : 9
maintenance    : 9
Court          : 9
Could          : 9
penetrate      : 9
avoided        : 9
himin          : 9
judge          : 9
foundations    : 9
concessions    : 9
necessaries    : 9
used           : 9
breach         : 9
recourse       : 9
Prussia        : 9
conference     : 9
firmness       : 9
date           : 9
displayed      : 9
disappointed   : 9
Lutheran       : 9
valuable       : 9
passes         : 9
heard          : 9
hesitated      : 9
ambassador     : 9
adhered        : 9
Chamber        : 9
scheme         : 9
effectual      : 9
deep           : 9
written        : 9
aware          : 9
selfish        : 8
faithful       : 8
room           : 8
rose           : 8
defeats        : 8
cry            : 8
memory         : 8
enter          : 8
statesman      : 8
bodies         : 8
virtues        : 8
foundation     : 8
ear            : 8
reward         : 8
boldness       : 8
contempt       : 8
chose          : 8
OR             : 8
voices         : 8
eye            : 8
am             : 8
attacks        : 8
Austrians      : 8
banners        : 8
themto         : 8
misery         : 8
avert          : 8
neglected      : 8
delivered      : 8
accordingly    : 8
Passau         : 8
impossible     : 8
conjuncture    : 8
reproaches     : 8
pretended      : 8
facilitate     : 8
letter         : 8
flattering     : 8
leaving        : 8
Evangelical    : 8
equivalent     : 8
Instead        : 8
assurances     : 8
counsels       : 8
Wirtemberg     : 8
key            : 8
endeavouring   : 8
went           : 8
Marshal        : 8
ardent         : 8
exacted        : 8
principally    : 8
month          : 8
altogether     : 8
detach         : 8
Baden          : 8
encourage      : 8
conquer        : 8
excluded       : 8
otherwise      : 8
May            : 8
dependence     : 8
breaking       : 8
assist         : 8
protected      : 8
apparent       : 8
fatal          : 8
kings          : 8
notwithstanding: 8
deserted       : 8
request        : 8
innocent       : 8
Field          : 8
existing       : 8
magazines      : 8
operation      : 8
price          : 8
bosom          : 8
escaped        : 8
mutual         : 8
horrors        : 8
Margrave       : 8
princess       : 8
Birkenfeld     : 8
retained       : 8
rewarded       : 8
idea           : 8
passing        : 8
fanaticism     : 8
marriage       : 8
provided       : 8
struck         : 8
try            : 8
reckoned       : 8
accustomed     : 8
grant          : 8
bythe          : 8
Neuburg        : 8
irreconcileable: 8
loud           : 8
florins        : 8
Too            : 8
displeasure    : 8
Aulic          : 8
receiving      : 8
rank           : 8
flowed         : 8
know           : 8
ended          : 8
ruined         : 8
standard       : 8
young          : 8
names          : 8
affected       : 8
unity          : 8
deficient      : 8
unfavourable   : 8
fugitive       : 8
edict          : 8
accompanied    : 8
calculated     : 8
succours       : 8
independence   : 8
certainty      : 8
privilege      : 8
elector        : 8
concealed      : 8
weeks          : 8
diminished     : 8
duchy          : 8
bounds         : 8
menaced        : 8
roused         : 8
servant        : 8
levied         : 8
establish      : 8
attached       : 8
regular        : 8
informed       : 8
tremble        : 8
expect         : 8
enforce        : 8
Croats         : 8
applied        : 8
principle      : 8
doubt          : 8
College        : 8
purchase       : 8
added          : 8
exhaust        : 8
whichthe       : 8
Papists        : 8
Milan          : 8
lived          : 8
lives          : 8
necessarily    : 8
burst          : 8
twelve         : 8
successes      : 8
reign          : 8
actions        : 8
feelings       : 8
continue       : 8
unfortunately  : 8
additional     : 8
marching       : 8
