the            : 2647
raised         : 9
Never          : 9
Limes          : 9
meant          : 9
Your           : 9
habit          : 9
wonderful      : 9
books          : 9
sleep          : 9
couldn         : 9
family         : 9
moral          : 9
ladies         : 9
bring          : 9
brother        : 9
consequently   : 9
girls          : 9
practice       : 9
settled        : 9
country        : 9
date           : 9
afore          : 9
intended       : 9
therefore      : 9
tender         : 9
already        : 9
broke          : 9
born           : 9
simply         : 9
bound          : 9
begin          : 9
change         : 9
makes          : 9
result         : 8
blood          : 8
taking         : 8
prevented      : 8
hours          : 8
knows          : 8
expression     : 8
step           : 8
theory         : 8
seems          : 8
spent          : 8
hands          : 8
silence        : 8
evidence       : 8
cottage        : 8
shape          : 8
IS             : 8
OF             : 8
OR             : 8
wanted         : 8
excited        : 8
charge         : 8
tears          : 8
easily         : 8
oh             : 8
waistcoat      : 8
held           : 8
terms          : 8
proof          : 8
south          : 8
send           : 8
lady           : 8
hundred        : 8
instant        : 8
consequence    : 8
didnot         : 8
counting       : 8
hot            : 8
action         : 8
free           : 8
actually       : 8
afraid         : 8
After          : 8
indeed         : 8
advice         : 8
comprehend     : 8
watched        : 8
shut           : 8
break          : 8
cross          : 8
gentleman      : 8
dreadful       : 8
passage        : 8
object         : 8
meadow         : 8
floor          : 8
fashion        : 8
remembered     : 8
mile           : 8
usually        : 8
letters        : 8
feet           : 8
character      : 8
appear         : 8
atthe          : 8
ourselves      : 8
ring           : 8
houses         : 8
determined     : 8
marked         : 8
nearer         : 8
months         : 8
brick          : 8
pretty         : 8
spiritual      : 8
everybody      : 8
followed       : 8
fine           : 8
slept          : 8
red            : 8
morrow         : 8
age            : 8
rid            : 8
amongst        : 8
expense        : 8
dull           : 8
move           : 8
Itwas          : 8
written        : 8
passion        : 8
dozen          : 8
Demariste      : 8
o              : 7
serious        : 7
pipe           : 7
beautiful      : 7
opposite       : 7
glass          : 7
prosecute      : 7
farmers        : 7
carefully      : 7
THE            : 7
grass          : 7
taught         : 7
straw          : 7
company        : 7
stream         : 7
forward        : 7
liked          : 7
existence      : 7
immediately    : 7
therewas       : 7
excepting      : 7
private        : 7
slightly       : 7
occupation     : 7
Suddenly       : 7
grey           : 7
plan           : 7
wet            : 7
didn           : 7
former         : 7
fool           : 7
rate           : 7
somehow        : 7
London         : 7
Please         : 7
smoke          : 7
Ely            : 7
considered     : 7
Rectory        : 7
lane           : 7
wall           : 7
entirely       : 7
impossible     : 7
wages          : 7
bear           : 7
Wot            : 7
leaned         : 7
beginning      : 7
reflect        : 7
weeks          : 7
nine           : 7
silver         : 7
touch          : 7
Foundation     : 7
foundry        : 7
distance       : 7
learned        : 7
Greek          : 7
missus         : 7
customers      : 7
corner         : 7
crown          : 7
ordinary       : 7
sight          : 7
legs           : 7
check          : 7
experience     : 7
pause          : 7
east           : 7
added          : 7
month          : 7
wouldn         : 7
pressure       : 7
moving         : 7
toher          : 7
nay            : 7
Just           : 7
blind          : 7
scarcely       : 7
Christian      : 7
pure           : 7
lift           : 7
Most           : 7
wind           : 7
talking        : 7
lips           : 7
conversation   : 7
Crowhurst      : 7
bought         : 7
manner         : 7
stock          : 7
facts          : 7
Really         : 7
receipt        : 7
windows        : 7
Nevertheless   : 7
brewer         : 7
health         : 7
selected       : 7
drove          : 7
dangerous      : 7
Cambridge      : 7
hecould        : 7
public         : 7
couple         : 7
ave            : 7
simple         : 7
sin            : 7
six            : 7
avoid          : 7
pleasure       : 7
safe           : 7
opposition     : 6
information    : 6
aside          : 6
hard           : 6
roof           : 6
hate           : 6
withthe        : 6
regard         : 6
pardon         : 6
try            : 6
dying          : 6
Greece         : 6
built          : 6
preacher       : 6
shoes          : 6
homewards      : 6
laces          : 6
attempt        : 6
hewas          : 6
Print          : 6
wore           : 6
jist           : 6
walking        : 6
allowed        : 6
special        : 6
ME             : 6
below          : 6
recovered      : 6
lawyer         : 6
visit          : 6
formed         : 6
foot           : 6
wor            : 6
placed         : 6
likely         : 6
talked         : 6
belief         : 6
delight        : 6
ma             : 6
possessed      : 6
Catherine      : 6
seat           : 6
re             : 6
discovered     : 6
north          : 6
sound          : 6
reader         : 6
departed       : 6
despair        : 6
laid           : 6
colour         : 6
philosophy     : 6
delighted      : 6
confusion      : 6
waiting        : 6
dropped        : 6
bell           : 6
Johnson        : 6
bent           : 6
difficult      : 6
respectable    : 6
fair           : 6
clearly        : 6
Humphries      : 6
paper          : 6
Crowhursts     : 6
farm           : 6
Bartlett       : 6
post           : 6
clock          : 6
preach         : 6
worst          : 6
leaving        : 6
entered        : 6
somewhat       : 6
tenderness     : 6
directed       : 6
Besides        : 6
high           : 6
earth          : 6
key            : 6
surprised      : 6
reach          : 6
weak           : 6
accepted       : 6
excitement     : 6
interposed     : 6
Michael        : 6
Small          : 6
temper         : 6
quiet          : 6
supposed       : 6
law            : 6
thirty         : 6
surely         : 6
lie            : 6
Presently      : 6
eternal        : 6
disappeared    : 6
bill           : 6
With           : 6
signed         : 6
exactly        : 6
stick          : 6
boatman        : 6
voice          : 6
tobe           : 6
agin           : 6
science        : 6
mistake        : 6
Some           : 6
tone           : 6
tohim          : 6
decided        : 6
dining         : 6
attractive     : 6
statement      : 6
itwas          : 6
turning        : 6
havebeen       : 6
odd            : 6
May            : 6
upright        : 6
line           : 6
reality        : 6
excuse         : 6
general        : 6
philosopher    : 6
trying         : 6
onthe          : 6
additional     : 6
peculiar       : 6
explain        : 6
heavy          : 6
Hart           : 6
favourite      : 6
except         : 6
accordance     : 6
swept          : 6
recognised     : 6
wonder         : 6
answered       : 6
reasoning      : 6
bottom         : 6
vague          : 6
trust          : 6
message        : 6
George         : 6
Maggie         : 6
boat           : 6
future         : 6
andMrs         : 6
Certainly      : 6
cart           : 6
moon           : 6
strong         : 6
beauty         : 6
deep           : 6
big            : 6
several        : 6
mental         : 6
nature         : 6
miserable      : 6
managed        : 6
alittle        : 6
emotion        : 6
argument       : 6
utterly        : 6
marriage       : 6
gold           : 5
S              : 5
harm           : 5
provided       : 5
top            : 5
intellectual   : 5
picture        : 5
pity           : 5
state          : 5
Are            : 5
desired        : 5
distribute     : 5
imagined       : 5
bedside        : 5
preached       : 5
later          : 5
text           : 5
lying          : 5
Son            : 5
main           : 5
ironmonger     : 5
meaning        : 5
Lane           : 5
examined       : 5
interest       : 5
mare           : 5
thathe         : 5
rushed         : 5
opinion        : 5
Can            : 5
winter         : 5
whispered      : 5
need           : 5
lines          : 5
horizon        : 5
pulpit         : 5
narrow         : 5
meadows        : 5
Two            : 5
servants       : 5
stuck          : 5
older          : 5
wondered       : 5
rain           : 5
effect         : 5
attention      : 5
denied         : 5
fit            : 5
Did            : 5
Poor           : 5
downstairs     : 5
sufficient     : 5
occupied       : 5
Archive        : 5
sect           : 5
Literary       : 5
ruler          : 5
remarkable     : 5
changed        : 5
hell           : 5
andthat        : 5
thou           : 5
obliged        : 5
hers           : 5
follow         : 5
youth          : 5
Charlie        : 5
possess        : 5
chapter        : 5
yours          : 5
FOR            : 5
tosay          : 5
parapet        : 5
busy           : 5
nothin         : 5
difference     : 5
intimate       : 5
weight         : 5
warm           : 5
resist         : 5
Divine         : 5
meal           : 5
advance        : 5
sometimes      : 5
Nagle          : 5
certainly      : 5
intention      : 5
impulse        : 5
honour         : 5
showed         : 5
whenever       : 5
boiler         : 5
HIM            : 5
finished       : 5
fast           : 5
yield          : 5
shewas         : 5
frequently     : 5
somuch         : 5
cloth          : 5
customer       : 5
offered        : 5
rooms          : 5
party          : 5
sick           : 5
century        : 5
paused         : 5
level          : 5
behalf         : 5
somewhere      : 5
inquiries      : 5
carpet         : 5
Nobody         : 5
making         : 5
distant        : 5
produce        : 5
pray           : 5
defective      : 5
led            : 5
cares          : 5
dogs           : 5
supper         : 5
manage         : 5
fund           : 5
Suppose        : 5
low            : 5
August         : 5
affirmed       : 5
touched        : 5
mine           : 5
importance     : 5
worthy         : 5
upset          : 5
mad            : 5
Alice          : 5
suffering      : 5
fortnight      : 5
allow          : 5
sweet          : 5
copyright      : 5
release        : 5
Let            : 5
slow           : 5
Cross          : 5
Paradise       : 5
image          : 5
temptation     : 5
mistaken       : 5
Jews           : 5
proposal       : 5
liar           : 5
coin           : 5
drop           : 5
lies           : 5
superior       : 5
connection     : 5
parlour        : 5
copy           : 5
dare           : 5
King           : 5
proposed       : 5
Both           : 5
nose           : 5
confidence     : 5
sister         : 5
list           : 5
kinds          : 5
snow           : 5
continually    : 5
apparently     : 5
neither        : 5
happen         : 5
intellect      : 5
sixpence       : 5
Hall           : 5
absurd         : 5
sole           : 5
sold           : 5
file           : 5
unwell         : 5
donations      : 5
space          : 5
horses         : 5
sorts          : 5
calling        : 5
helped         : 5
HAVE           : 5
air            : 5
dumb           : 5
parson         : 5
patience       : 5
calm           : 5
run            : 5
Look           : 5
absence        : 5
Mark           : 5
Mary           : 5
mouth          : 5
yard           : 5
itis           : 5
sayin          : 5
bid            : 5
advanced       : 5
thanks         : 5
recognise      : 5
foolish        : 5
drawn          : 5
horse          : 5
unusually      : 5
preferred      : 5
higher         : 5
weather        : 5
goes           : 5
aware          : 5
cap            : 5
clothes        : 5
motive         : 4
pressed        : 4
whenhe         : 4
gown           : 4
plenty         : 4
direction      : 4
Their          : 4
probably       : 4
attack         : 4
watch          : 4
andthere       : 4
These          : 4
unjust         : 4
guvnor         : 4
fallen         : 4
short          : 4
inEastthorpe   : 4
bright         : 4
pretext        : 4
daughters      : 4
shown          : 4
overtook       : 4
Carruthers     : 4
Thus           : 4
Bible          : 4
waited         : 4
brown          : 4
Sit            : 4
balance        : 4
thief          : 4
willows        : 4
progress       : 4
bare           : 4
surprise       : 4
THIS           : 4
needed         : 4
thatit         : 4
Every          : 4
indoors        : 4
congregation   : 4
shillin        : 4
advantage      : 4
awful          : 4
stop           : 4
consented      : 4
An             : 4
Meanwhile      : 4
severe         : 4
brandy         : 4
instructions   : 4
official       : 4
vexed          : 4
kindly         : 4
tried          : 4
IF             : 4
forth          : 4
entrance       : 4
agreat         : 4
running        : 4
forms          : 4
remain         : 4
presently      : 4
openly         : 4
intothe        : 4
fields         : 4
conclusion     : 4
doubtless      : 4
completely     : 4
EBOOK          : 4
pleased        : 4
produced       : 4
FURZE          : 4
donot          : 4
fond           : 4
fromthe        : 4
Father         : 4
rare           : 4
watching       : 4
prophecy       : 4
contrary       : 4
contrast       : 4
sending        : 4
Nonsense       : 4
author         : 4
feeling        : 4
heat           : 4
cfrz           : 4
rescue         : 4
bricks         : 4
incessantly    : 4
January        : 4
compelled      : 4
email          : 4
tm             : 4
thin           : 4
failure        : 4
deeply         : 4
contract       : 4
criminal       : 4
addressed      : 4
expenses       : 4
England        : 4
misery         : 4
correct        : 4
authority      : 4
million        : 4
handkerchief   : 4
equally        : 4
However        : 4
arms           : 4
conduct        : 4
marry          : 4
thinks         : 4
thatthe        : 4
circle         : 4
secure         : 4
wasn           : 4
definite       : 4
Was            : 4
effort         : 4
laws           : 4
square         : 4
beer           : 4
opportunity    : 4
subjects       : 4
Monday         : 4
impression     : 4
deliver        : 4
eight          : 4
cough          : 4
steps          : 4
forget         : 4
thereby        : 4
spire          : 4
particklar     : 4
weary          : 4
vital          : 4
rule           : 4
dressed        : 4
underneath     : 4
doors          : 4
forgot         : 4
deportment     : 4
properly       : 4
ashamed        : 4
choose         : 4
property       : 4
urged          : 4
happily        : 4
shan           : 4
points         : 4
hymn           : 4
handed         : 4
takes          : 4
debate         : 4
whiskey        : 4
vanished       : 4
mischief       : 4
totally        : 4
parting        : 4
job            : 4
sheet          : 4
Jack           : 4
stupid         : 4
parish         : 4
contact        : 4
Accordingly    : 4
parts          : 4
lucky          : 4
toEastthorpe   : 4
alive          : 4
Jane           : 4
knees          : 4
sign           : 4
Before         : 4
intercourse    : 4
scene          : 4
lighted        : 4
lighter        : 4
Master         : 4
fourth         : 4
clergyman      : 4
Moreover       : 4
expect         : 4
fifty          : 4
characters     : 4
November       : 4
considering    : 4
loves          : 4
Very           : 4
lap            : 4
teacher        : 4
situation      : 4
prayer         : 4
unable         : 4
fixed          : 4
cared          : 4
Come           : 4
lot            : 4
None           : 4
affair         : 4
relief         : 4
pass           : 4
smiled         : 4
October        : 4
papers         : 4
permission     : 4
universe       : 4
individuality  : 4
fear           : 4
field          : 4
mat            : 4
vividly        : 4
ideas          : 4
middle         : 4
healthy        : 4
gutenberg      : 4
tongue         : 4
enjoy          : 4
slave          : 4
naturally      : 4
prepared       : 4
Honourable     : 4
elder          : 4
togo           : 4
andhe          : 4
sobbing        : 4
risen          : 4
visited        : 4
judge          : 4
toyou          : 4
preceding      : 4
haven          : 4
maybe          : 4
permitted      : 4
obeyed         : 4
silly          : 4
hatred         : 4
catch          : 4
direct         : 4
asthe          : 4
peace          : 4
thunder        : 4
frame          : 4
draw           : 4
ofa            : 4
follows        : 4
coal           : 4
sympathy       : 4
recover        : 4
drew           : 4
evidently      : 4
Close          : 4
connected      : 4
details        : 4
NOT            : 4
damp           : 4
cases          : 4
wide           : 4
Moot           : 4
pupil          : 4
asleep         : 4
cost           : 4
yellow         : 4
faced          : 4
belonging      : 4
creature       : 4
New            : 4
rising         : 4
Thank          : 4
inher          : 4
Would          : 4
standing       : 4
uncomfortable  : 4
Cannot         : 4
henceforth     : 4
desire         : 4
listen         : 4
request        : 4
process        : 4
innocent       : 4
Sundays        : 4
DEAR           : 4
inclined       : 4
andshe         : 4
themost        : 4
Still          : 4
machine        : 4
seriously      : 4
unless         : 4
inside         : 4
announced      : 4
rough          : 4
assistance     : 4
imagination    : 4
Furthermore    : 4
covered        : 4
crept          : 4
building       : 4
ran            : 4
incapable      : 4
recorded       : 4
respectability : 4
weakness       : 4
altar          : 4
devoted        : 4
apt            : 4
stirred        : 4
justified      : 4
view           : 4
Word           : 4
greater        : 4
commandments   : 4
fireplace      : 4
Lost           : 4
latter         : 4
boys           : 4
reflected      : 4
greatly        : 4
deal           : 4
astonished     : 4
liking         : 4
neighbour      : 4
discovery      : 4
quarrel        : 4
buried         : 4
pains          : 4
horrible       : 4
ARE            : 4
overcome       : 4
slipped        : 4
buy            : 4
express        : 4
wishes         : 4
inches         : 4
natural        : 4
drank          : 4
hishead        : 4
alarmed        : 4
departure      : 4
couldnot       : 4
distinct       : 4
Berdoe         : 3
willow         : 3
J              : 3
M              : 3
c              : 3
p              : 3
sale           : 3
readers        : 3
obvious        : 3
y              : 3
owed           : 3
raging         : 3
discharged     : 3
hasn           : 3
avail          : 3
additions      : 3
warmer         : 3
whenshe        : 3
thousand       : 3
including      : 3
stable         : 3
refrain        : 3
ofEastthorpe   : 3
cup            : 3
cut            : 3
aweek          : 3
replaced       : 3
services       : 3
shook          : 3
actual         : 3
reflection     : 3
Jerusalem      : 3
shops          : 3
memory         : 3
shewould       : 3
ninety         : 3
required       : 3
enter          : 3
onhis          : 3
flowers        : 3
sorrows        : 3
assure         : 3
manners        : 3
possession     : 3
accustomed     : 3
raising        : 3
island         : 3
CAN            : 3
announcement   : 3
attitude       : 3
fears          : 3
possibly       : 3
sermon         : 3
training       : 3
December       : 3
oncemore       : 3
statue         : 3
Bull           : 3
hoping         : 3
crime          : 3
shone          : 3
likes          : 3
establishment  : 3
manin          : 3
uncommon       : 3
suppressed     : 3
thread         : 3
intensity      : 3
ayoung         : 3
relationship   : 3
bother         : 3
controlled     : 3
sovereigns     : 3
bark           : 3
admitted       : 3
knock          : 3
loss           : 3
cattle         : 3
stated         : 3
secret         : 3
wasin          : 3
stir           : 3
instead        : 3
Am             : 3
learn          : 3
neck           : 3
notes          : 3
DO             : 3
spring         : 3
faint          : 3
sheknew        : 3
shade          : 3
staggered      : 3
http           : 3
gates          : 3
andthen        : 3
START          : 3
acertain       : 3
rights         : 3
thoroughly     : 3
trial          : 3
ancestors      : 3
MY             : 3
driving        : 3
Me             : 3
expected       : 3
eye            : 3
saidnothing    : 3
enemy          : 3
foal           : 3
wealthy        : 3
sounded        : 3
furniture      : 3
wouldbe        : 3
trademark      : 3
news           : 3
grew           : 3
double         : 3
horrid         : 3
Day            : 3
laughed        : 3
personally     : 3
remark         : 3
denies         : 3
damned         : 3
intelligible   : 3
extent         : 3
honest         : 3
rank           : 3
Jennings       : 3
Maker          : 3
preceded       : 3
em             : 3
END            : 3
specification  : 3
else           : 3
im             : 3
alteration     : 3
eagerness      : 3
ability        : 3
herfather      : 3
hehad          : 3
Read           : 3
faster         : 3
entry          : 3
immortality    : 3
careful        : 3
mixed          : 3
hundreds       : 3
Matthew        : 3
neighbours     : 3
closed         : 3
compressed     : 3
rules          : 3
recess         : 3
WAS            : 3
etext          : 3
teach          : 3
Foster         : 3
provisions     : 3
exact          : 3
surrounded     : 3
confounded     : 3
sell           : 3
theTerrace     : 3
Elliotson      : 3
gig            : 3
Shott          : 3
committee      : 3
ruined         : 3
god            : 3
standard       : 3
isnot          : 3
wouldnot       : 3
neglected      : 3
shocking       : 3
injustice      : 3
entire         : 3
approach       : 3
decisive       : 3
strongly       : 3
larger         : 3
queer          : 3
sausages       : 3
tempted        : 3
thechurch      : 3
havetaken      : 3
steward        : 3
wake           : 3
earlier        : 3
Third          : 3
liability      : 3
doubtful       : 3
extending      : 3
quietly        : 3
events         : 3
Should         : 3
retreated      : 3
goods          : 3
Heaven         : 3
warn           : 3
measure        : 3
Sims           : 3
forbade        : 3
offence        : 3
worship        : 3
oneanother     : 3
hit            : 3
twice          : 3
belonged       : 3
Virgin         : 3
restore        : 3
blacksmith     : 3
wouldhave      : 3
musthave       : 3
court          : 3
pondered       : 3
promise        : 3
ofthat         : 3
thereon        : 3
deceived       : 3
asif           : 3
killed         : 3
basket         : 3
suspected      : 3
afford         : 3
theshop        : 3
trusted        : 3
barge          : 3
peasants       : 3
attraction     : 3
based          : 3
pointed        : 3
rude           : 3
nevertheless   : 3
pieces         : 3
tohave         : 3
awkward        : 3
notto          : 3
theology       : 3
professed      : 3
removal        : 3
enable         : 3
