the       : 5745
gave      : 29
yet       : 29
making    : 29
kuruma    : 29
passed    : 29
mother    : 29
name      : 29
stream    : 28
Nikko     : 28
Dr        : 28
No        : 28
having    : 28
wear      : 28
dirty     : 28
pretty    : 28
Project   : 28
One       : 28
sat       : 28
strong    : 28
plain     : 28
cannot    : 28
years     : 28
enough    : 28
bed       : 28
Their     : 27
From      : 27
wide      : 27
painted   : 27
view      : 27
seven     : 27
sides     : 27
usual     : 27
cotton    : 27
handsome  : 27
fell      : 27
middle    : 27
bamboo    : 27
track     : 27
gods      : 27
All       : 26
shrines   : 26
shops     : 26
below     : 26
square    : 26
leaving   : 26
crowd     : 26
does      : 26
class     : 26
your      : 26
beauty    : 26
streets   : 26
ten       : 26
andthe    : 26
thirty    : 26
home      : 26
foreigner : 26
case      : 26
across    : 25
To        : 25
produced  : 25
waters    : 25
distance  : 25
fifty     : 25
money     : 25
mud       : 25
turned    : 25
wife      : 25
shoulders : 25
single    : 25
steps     : 25
close     : 25
size      : 25
heads     : 25
within    : 25
air       : 25
d         : 24
besides   : 24
clothing  : 24
hung      : 24
places    : 24
etext     : 24
laid      : 24
land      : 24
crowded   : 24
how       : 24
words     : 24
against   : 24
alone     : 24
cold      : 24
yellow    : 24
degrees   : 24
sky       : 24
hard      : 24
fields    : 24
course    : 24
write     : 24
tied      : 24
coloured  : 24
girls     : 24
region    : 24
child     : 24
manner    : 24
snow      : 24
passes    : 24
during    : 24
fleas     : 24
t         : 23
bright    : 23
outside   : 23
piece     : 23
lady      : 23
hot       : 23
dressed   : 23
saying    : 23
backs     : 23
Benri     : 23
mat       : 23
bronze    : 23
boat      : 23
Then      : 23
narrow    : 23
smoke     : 23
poles     : 23
tothe     : 23
since     : 23
temples   : 23
thought   : 23
kurumas   : 23
Yedo      : 23
coast     : 22
thick     : 22
lying     : 22
shrine    : 22
bridge    : 22
best      : 22
rude      : 22
teeth     : 22
quiet     : 22
altogether: 22
keep      : 22
lower     : 22
sen       : 22
says      : 22
shall     : 22
running   : 22
hundreds  : 22
taken     : 22
You       : 22
sight     : 22
person    : 22
inthe     : 22
roads     : 22
skin      : 22
myself    : 22
damp      : 22
boy       : 22
thing     : 21
year      : 21
severe    : 21
foreigners: 21
magnificent: 21
books     : 21
whom      : 21
wind      : 21
father    : 21
worn      : 21
carved    : 21
iron      : 21
Niigata   : 20
shoes     : 20
mago      : 20
looks     : 20
sitting   : 20
ri        : 20
raised    : 20
travel    : 20
neither   : 20
truly     : 20
built     : 20
grass     : 20
passport  : 20
cups      : 20
bridges   : 20
might     : 20
visit     : 20
carrying  : 20
police    : 20
coarse    : 20
ride      : 20
speak     : 20
deal      : 20
cut       : 19
shore     : 19
flowers   : 19
interest  : 19
spent     : 19
hardly    : 19
entrance  : 19
coolies   : 19
wall      : 19
yesterday : 19
worship   : 19
His       : 19
entered   : 19
lanterns  : 19
fashion   : 19
dogs      : 19
animal    : 19
ranges    : 19
oil       : 19
arrived   : 19
route     : 19
mainly    : 19
priests   : 19
instead   : 19
held      : 19
beyond    : 19
sometimes : 19
broken    : 19
beans     : 19
rich      : 19
general   : 19
soft      : 19
itself    : 19
bay       : 19
information: 18
taking    : 18
pine      : 18
main      : 18
kindly    : 18
dried     : 18
gardens   : 18
ill       : 18
situated  : 18
mile      : 18
mine      : 18
streams   : 18
leaves    : 18
mouth     : 18
set       : 18
Chinese   : 18
savages   : 18
leave     : 18
formed    : 18
sound     : 18
garden    : 18
appearance: 18
stones    : 18
paid      : 18
beach     : 18
felt      : 18
Some      : 18
girl      : 18
Buddhist  : 18
heard     : 18
falling   : 18
consists  : 18
living    : 18
stands    : 18
Legation  : 18
clothed   : 18
turn      : 17
rope      : 17
eat       : 17
neck      : 17
Gutenberg : 17
appeared  : 17
force     : 17
school    : 17
colour    : 17
polished  : 17
For       : 17
style     : 17
picturesque: 17
boots     : 17
travellers: 17
wild      : 17
valley    : 17
boys      : 17
really    : 17
Hakodate  : 17
drinking  : 17
She       : 17
farther   : 17
wet       : 17
whether   : 17
yen       : 17
showed    : 17
fall      : 17
containing: 17
daily     : 17
upper     : 17
silent    : 17
baggage   : 17
boats     : 17
scarcely  : 17
windows   : 17
hope      : 17
simple    : 17
Bay       : 16
shoji     : 16
But       : 16
else      : 16
second    : 16
able      : 16
spite     : 16
nine      : 16
frequently: 16
worse     : 16
difficulty: 16
level     : 16
savage    : 16
specially : 16
legs      : 16
eaves     : 16
door      : 16
received  : 16
yadoyas   : 16
branches  : 16
fishing   : 16
followed  : 16
clean     : 16
mosquitoes: 16
rough     : 16
dull      : 16
getting   : 16
son       : 16
moment    : 16
possible  : 16
Two       : 16
various   : 16
solitary  : 16
fact      : 16
daimiyo   : 16
takes     : 16
parents   : 16
owing     : 16
July      : 16
twelve    : 16
policemen : 16
began     : 16
summer    : 16
space     : 16
public    : 16
dead      : 16
big       : 16
drawn     : 16
hanging   : 15
don       : 15
known     : 15
common    : 15
gentle    : 15
everywhere: 15
figures   : 15
matted    : 15
beaten    : 15
net       : 15
fully     : 15
wish      : 15
run       : 15
sad       : 15
fresh     : 15
northern  : 15
Shinto    : 15
banks     : 15
stage     : 15
wore      : 15
scarlet   : 15
arms      : 15
court     : 15
object    : 15
capital   : 15
means     : 15
letters   : 15
lofty     : 15
edge      : 15
Shiraoi   : 15
eggs      : 15
art       : 15
valleys   : 15
posts     : 15
rock      : 15
O         : 14
m         : 14
pink      : 14
became    : 14
third     : 14
carefully : 14
volcano   : 14
bath      : 14
seems     : 14
spend     : 14
forty     : 14
bridle    : 14
ravines   : 14
passengers: 14
hat       : 14
ends      : 14
ways      : 14
perfect   : 14
city      : 14
filled    : 14
popular   : 14
falls     : 14
different : 14
cross     : 14
earth     : 14
lay       : 14
done      : 14
mist      : 14
sleep     : 14
lies      : 14
ridge     : 14
live      : 14
giving    : 14
receive   : 14
gateway   : 14
clear     : 14
ran       : 14
prayers   : 14
anxious   : 14
officials : 14
glorious  : 14
interpreter: 14
scenery   : 14
steamer   : 14
Shinondi  : 14
keeping   : 14
gate      : 14
Usu       : 14
hear      : 14
north     : 14
avenue    : 14
point     : 14
notice    : 14
difficult : 14
doors     : 14
show      : 14
servant   : 14
everything: 14
attached  : 14
traveller : 14
seeing    : 14
characters: 14
polite    : 14
pain      : 14
exhausted : 14
feel      : 14
richly    : 14
June      : 14
family    : 14
bride     : 14
reeds     : 14
grown     : 14
glad      : 14
soil      : 14
box       : 14
rode      : 14
flat      : 14
H         : 13
walked    : 13
order     : 13
rose      : 13
bank      : 13
presented : 13
understand: 13
crops     : 13
masses    : 13
Aomori    : 13
worst     : 13
world     : 13
ken       : 13
ones      : 13
week      : 13
customs   : 13
solid     : 13
lie       : 13
month     : 13
custom    : 13
millet    : 13
holes     : 13
sweet     : 13
widow     : 13
fusuma    : 13
ancient   : 13
none      : 13
noon      : 13
Mori      : 13
Governor  : 13
book      : 13
ocean     : 13
idea      : 13
passing   : 13
state     : 13
sweetmeats: 13
manners   : 13
island    : 13
bythe     : 13
logs      : 13
allowed   : 13
learn     : 13
sleeping  : 13
slightly  : 13
servants  : 13
skins     : 13
help      : 13
certainly : 13
read      : 13
afternoon : 13
fixed     : 13
ears      : 13
wretched  : 13
fear      : 13
Biratori  : 13
carry     : 13
towns     : 13
cases     : 13
process   : 13
population: 13
hole      : 13
ago       : 13
Pipichari : 13
courteous : 13
bow       : 13
written   : 13
abrupt    : 12
picture   : 12
YEZO      : 12
Parkes    : 12
bodies    : 12
numbers   : 12
bare      : 12
OF        : 12
foam      : 12
completely: 12
bells     : 12
surrounded: 12
Yokohama  : 12
hundred   : 12
weight    : 12
mean      : 12
friends   : 12
pieces    : 12
runs      : 12
Hai       : 12
passage   : 12
Transport : 12
law       : 12
minutes   : 12
washed    : 12
wonderful : 12
sunshine  : 12
writing   : 12
shingle   : 12
decorated : 12
intervals : 12
politeness: 12
strips    : 12
blind     : 12
frame     : 12
practice  : 12
flight    : 12
pay       : 12
festival  : 12
series    : 12
talk      : 12
bottom    : 12
building  : 12
bows      : 12
bowl      : 12
avoid     : 12
makes     : 12
guide     : 12
ugly      : 12
salt      : 12
withthe   : 12
golden    : 12
unknown   : 12
stand     : 12
drawing   : 12
indigo    : 12
naked     : 12
race      : 12
double    : 12
climate   : 12
deeply    : 12
Von       : 12
twice     : 12
waiting   : 12
farm      : 12
fifteen   : 12
runners   : 12
offered   : 12
costume   : 12
reach     : 12
supposed  : 12
opening   : 12
perfectly : 12
added     : 12
stick     : 12
beams     : 12
andon     : 12
crossing  : 12
rise      : 12
occasionally: 12
board     : 12
constantly: 12
literally : 12
months    : 12
considerable: 12
tree      : 12
trying    : 12
tracks    : 12
crepe     : 12
already   : 12
sticks    : 12
bit       : 12
miserable : 12
incense   : 12
drank     : 12
eating    : 11
question  : 11
farmers   : 11
heavily   : 11
brown     : 11
dry       : 11
expression: 11
bars      : 11
neat      : 11
represented: 11
remain    : 11
features  : 11
pleased   : 11
opened    : 11
lantern   : 11
dirt      : 11
loaded    : 11
purpose   : 11
station   : 11
Yamagata  : 11
girdle    : 11
hillside  : 11
graceful  : 11
lacquered : 11
libations : 11
ropes     : 11
contain   : 11
produce   : 11
let       : 11
Even      : 11
stretcher : 11
rolled    : 11
understood: 11
certain   : 11
pleasing  : 11
search    : 11
nose      : 11
rising    : 11
cleft     : 11
mostly    : 11
comes     : 11
smile     : 11
rolling   : 11
sorry     : 11
sacred    : 11
sit       : 11
highly    : 11
higher    : 11
doing     : 11
drums     : 11
straight  : 11
sale      : 11
probably  : 11
Sir       : 11
priest    : 11
lost      : 11
notes     : 11
special   : 11
expected  : 11
leads     : 11
inner     : 11
sugar     : 11
occupied  : 11
splendid  : 11
vegetation: 11
thus      : 11
names     : 11
thinks    : 11
accompanied: 11
honour    : 11
according : 11
quantity  : 11
shelf     : 11
clogs     : 11
shut      : 11
important : 11
sheds     : 11
afterwards: 11
comfort   : 11
arranged  : 11
husband   : 11
human     : 11
appear    : 11
Asiatic   : 11
arrow     : 11
return    : 11
Kubota    : 11
Many      : 11
ask       : 11
soaked    : 11
animals   : 11
wished    : 11
weather   : 11
M         : 10
S         : 10
e         : 10
i         : 10
domestic  : 10
walking   : 10
exception : 10
screen    : 10
forms     : 10
eye       : 10
burned    : 10
effect    : 10
easily    : 10
rushing   : 10
garments  : 10
lake      : 10
want      : 10
hospital  : 10
meal      : 10
bell      : 10
afraid    : 10
persons   : 10
ornamental: 10
badly     : 10
worth     : 10
waist     : 10
equivalent: 10
mouths    : 10
lead      : 10
spoke     : 10
hamlet    : 10
August    : 10
torrent   : 10
proper    : 10
forthe    : 10
guest     : 10
exquisite : 10
non       : 10
districts : 10
peaks     : 10
note      : 10
engaged   : 10
kinds     : 10
formerly  : 10
Not       : 10
consisted : 10
instance  : 10
position  : 10
appears   : 10
coming    : 10
mosquito  : 10
aspect    : 10
altar     : 10
strength  : 10
inlaid    : 10
inland    : 10
blood     : 10
including : 10
Here      : 10
forward   : 10
rapid     : 10
winter    : 10
representing: 10
spring    : 10
cakes     : 10
finely    : 10
Mororan   : 10
brass     : 10
singular  : 10
necessary : 10
sell      : 10
obliged   : 10
creatures : 10
numerous  : 10
Siebold   : 10
equally   : 10
crowds    : 10
gilded    : 10
House     : 10
kimono    : 10
sandy     : 10
Continued : 10
weeks     : 10
removed   : 10
Before    : 10
interesting: 10
lighted   : 10
travelled : 10
ready     : 10
Mikado    : 10
Buddha    : 10
rises     : 10
lives     : 10
visible   : 10
solemn    : 10
bring     : 10
ofwhich   : 10
riding    : 10
groups    : 10
charcoal  : 10
civilisation: 10
onthe     : 10
sore      : 10
regions   : 10
birds     : 10
age       : 10
Several   : 10
seldom    : 10
simply    : 10
office    : 10
stood     : 10
storm     : 10
etiquette : 10
goes      : 10
gone      : 9
thousand  : 9
And       : 9
rows      : 9
cup       : 9
performed : 9
length    : 9
arrangement: 9
progress  : 9
tried     : 9
thoroughly: 9
etc       : 9
TO        : 9
play      : 9
surf      : 9
charge    : 9
garment   : 9
Except    : 9
intelligent: 9
obtained  : 9
industrious: 9
suspended : 9
larger    : 9
imposing  : 9
impression: 9
concerning: 9
free      : 9
pole      : 9
death     : 9
longer    : 9
suddenly  : 9
largest   : 9
difficulties: 9
primitive : 9
What      : 9
timber    : 9
walks     : 9
Yoshitsune: 9
bathing   : 9
seated    : 9
sense     : 9
map       : 9
ideas     : 9
believe   : 9
Hepburn   : 9
female    : 9
darkness  : 9
impassable: 9
marked    : 9
thunder   : 9
breaking  : 9
pure      : 9
line      : 9
lips      : 9
enormous  : 9
About     : 9
assembled : 9
hunting   : 9
spray     : 9
performance: 9
body      : 9
row       : 9
bowed     : 9
dust      : 9
guests    : 9
bound     : 9
change    : 9
glory     : 9
sub       : 9
Etexts    : 9
patients  : 9
telling   : 9
direction : 9
opposite  : 9
later     : 9
load      : 9
bowls     : 9
smoking   : 9
grounds   : 9
clouds    : 9
grave     : 9
least     : 9
receiving : 9
older     : 9
attention : 9
limbs     : 9
become    : 9
closed    : 9
slight    : 9
send      : 9
returned  : 9
musical   : 9
immense   : 9
corpse    : 9
unclothed : 9
please    : 9
finding   : 9
fair      : 9
mercury   : 9
densely   : 9
enjoyed   : 9
real      : 9
handed    : 9
shop      : 9
canvas    : 9
somewhat  : 9
ordinary  : 9
following : 9
Kanaya    : 9
Iyeyasu   : 9
applied   : 9
bringing  : 9
Horobets  : 9
chest     : 9
doubt     : 9
pair      : 9
cucumbers : 9
pale      : 9
merely    : 9
daidokoro : 9
beard     : 9
buildings : 9
Sunday    : 9
seaweed   : 9
attractive: 9
yards     : 9
lived     : 9
ladies    : 9
rocky     : 9
Tsugawa   : 9
shaped    : 9
stories   : 9
dignity   : 9
carriage  : 9
faced     : 9
forests   : 9
Ihave     : 9
ceased    : 9
policeman : 9
standing  : 9
asking    : 9
desire    : 9
group     : 9
trade     : 9
call      : 9
ate       : 9
verandah  : 9
yard      : 9
latter    : 9
amidst    : 9
thrown    : 9
pleasure  : 9
autumn    : 9
natural   : 9
stout     : 9
pipe      : 8
partly    : 8
dim       : 8
showing   : 8
dog       : 8
waving    : 8
Every     : 8
By        : 8
need      : 8
loose     : 8
turns     : 8
races     : 8
OR        : 8
voices    : 8
So        : 8
extent    : 8
addition  : 8
grow      : 8
mythical  : 8
undergrowth: 8
recent    : 8
avery     : 8
lack      : 8
crested   : 8
native    : 8
replied   : 8
religion  : 8
goods     : 8
delighted : 8
meet      : 8
hut       : 8
runner    : 8
venerable : 8
excellent : 8
post      : 8
property  : 8
drink     : 8
composed  : 8
roots     : 8
dismal    : 8
theother  : 8
eleven    : 8
rafters   : 8
matter    : 8
arrows    : 8
lbs       : 8
quagmire  : 8
rendered  : 8
smell     : 8
lonely    : 8
curiosity : 8
milk      : 8
With      : 8
Ishould   : 8
vegetable : 8
lakes     : 8
lotus     : 8
visited   : 8
students  : 8
strings   : 8
ofa       : 8
Mrs       : 8
vicious   : 8
Among     : 8
account   : 8
tall      : 8
taki      : 8
Old       : 8
balcony   : 8
Minister  : 8
snowy     : 8
grace     : 8
absence   : 8
pattern   : 8
greenery  : 8
heights   : 8
oneof     : 8
copper    : 8
feature   : 8
tremendous: 8
hang      : 8
hats      : 8
struck    : 8
That      : 8
speech    : 8
required  : 8
formal    : 8
dwarf     : 8
shape     : 8
sharp     : 8
remains   : 8
shafts    : 8
hospitality: 8
former    : 8
scrub     : 8
rate      : 8
knew      : 8
rules     : 8
Horse     : 8
approach  : 8
American  : 8
welcome   : 8
entirely  : 8
slope     : 8
mothers   : 8
mirror    : 8
sandals   : 8
trousers  : 8
melancholy: 8
boiled    : 8
ridges    : 8
fast      : 8
weeds     : 8
learned   : 8
babies    : 8
hind      : 8
routes    : 8
wheels    : 8
roofed    : 8
daylight  : 8
pumice    : 8
centre    : 8
character : 8
monotonous: 8
tobacco   : 8
secured   : 8
music     : 8
theJapanese: 8
descend   : 8
atmosphere: 8
tour      : 8
groves    : 8
knife     : 8
seemed    : 8
generally : 8
complete  : 8
antique   : 8
waterproof: 8
strange   : 8
vermilion : 8
Travelling: 8
oblong    : 8
gives     : 8
prosperous: 8
tray      : 8
hold      : 8
dragons   : 8
throat    : 8
until     : 8
amount    : 8
timbers   : 8
Satow     : 8
gallop    : 8
motion    : 8
amusing   : 7
o         : 7
ascent    : 7
quarters  : 7
Lebunge   : 7
coats     : 7
eyebrows  : 7
shows     : 7
hideous   : 7
Lady      : 7
barn      : 7
speed     : 7
apply     : 7
Kasukabe  : 7
Ri        : 7
comfortable: 7
eyelids   : 7
lilies    : 7
honest    : 7
sure      : 7
extremely : 7
re        : 7
fords     : 7
power     : 7
England   : 7
sights    : 7
late      : 7
warm      : 7
impossible: 7
sounds    : 7
cities    : 7
mere      : 7
staring   : 7
sulphur   : 7
finished  : 7
value     : 7
shortly   : 7
letter    : 7
dwellings : 7
delicious : 7
dressing  : 7
sixty     : 7
medicine  : 7
western   : 7
alive     : 7
scene     : 7
throughout: 7
lean      : 7
tired     : 7
Small     : 7
circular  : 7
Its       : 7
coolie    : 7
noisy     : 7
led       : 7
courtesy  : 7
Foreign   : 7
asingle   : 7
beasts    : 7
morethan  : 7
suffering : 7
attempts  : 7
failed    : 7
contains  : 7
thousands : 7
reaching  : 7
contained : 7
Christian : 7
smoked    : 7
leather   : 7
lamps     : 7
beards    : 7
theroad   : 7
per       : 7
Volcano   : 7
swamps    : 7
Three     : 7
burning   : 7
apparently: 7
muddy     : 7
sliding   : 7
absolutely: 7
tells     : 7
Haru      : 7
health    : 7
procession: 7
wonder    : 7
games     : 7
holding   : 7
sorts     : 7
morrow    : 7
truth     : 7
hairy     : 7
tender    : 7
Numa      : 7
poverty   : 7
bone      : 7
beautifully: 7
Yesterday : 7
brilliant : 7
obviously : 7
striking  : 7
Yubets    : 7
table     : 7
towards   : 7
marriage  : 7
anda      : 7
aborigines: 7
stare     : 7
requires  : 7
torrents  : 7
hotel     : 7
Pacific   : 7
cure      : 7
brow      : 7
boxes     : 7
decayed   : 7
industry  : 7
dense     : 7
lines     : 7
andthen   : 7
GUTENBERG : 7
waved     : 7
superb    : 7
central   : 7
thatthey  : 7
Though    : 7
watching  : 7
sending   : 7
feeling   : 7
families  : 7
seem      : 7
started   : 7
PROJECT   : 7
thin      : 7
ornaments : 7
south     : 7
self      : 7
Agent     : 7
oftheir   : 7
ravine    : 7
civilised : 7
chair     : 7
history   : 7
curtain   : 7
accommodation: 7
temperature: 7
wears     : 7
powder    : 7
windy     : 7
concealed : 7
YOU       : 7
Sarufuto  : 7
fitted    : 7
Yet       : 7
severely  : 7
nearest   : 7
signs     : 7
dinner    : 7
sick      : 7
Besides   : 7
knees     : 7
trailers  : 7
loads     : 7
British   : 7
regards   : 7
consisting: 7
ceremony  : 7
pillow    : 7
unable    : 7
supper    : 7
wealth    : 7
disappeared: 7
path      : 7
stiff     : 7
beast     : 7
atthe     : 7
voice     : 7
Komatsu   : 7
tobe      : 7
descent   : 7
amado     : 7
wives     : 7
slow      : 7
abruptly  : 7
wrong     : 7
stairs    : 7
carts     : 7
witha     : 7
date      : 7
girth     : 7
storied   : 7
Maries    : 7
creature  : 7
shaven    : 7
rarely    : 7
intended  : 7
apparatus : 7
grows     : 7
crimson   : 7
honourable: 7
rubbed    : 7
singularly: 7
unless    : 7
enjoyment : 7
younger   : 7
ladder    : 7
taste     : 7
broke     : 7
matting   : 7
resting   : 7
flesh     : 7
angry     : 7
greatly   : 7
dwelling  : 7
lessons   : 7
lovely    : 7
Omono     : 7
pier      : 6
p         : 6
entering  : 6
dread     : 6
kitchen   : 6
clatter   : 6
anumber   : 6
treatment : 6
inscribed : 6
taught    : 6
die       : 6
laced     : 6
sheets    : 6
attempt   : 6
band      : 6
singing   : 6
stay      : 6
step      : 6
ear       : 6
visitors  : 6
Since     : 6
awful     : 6
silence   : 6
stop      : 6
cremation : 6
flies     : 6
canals    : 6
woods     : 6
Ni        : 6
Of        : 6
splashing : 6
classes   : 6
window    : 6
fan       : 6
plan      : 6
Shinano   : 6
produces  : 6
oiled     : 6
notions   : 6
sewing    : 6
massive   : 6
curious   : 6
regret    : 6
million   : 6
However   : 6
arrangements: 6
disease   : 6
alike     : 6
junks     : 6
Only      : 6
meat      : 6
Asakusa   : 6
answer    : 6
confusion : 6
meto      : 6
actually  : 6
extends   : 6
odours    : 6
spine     : 6
dresses   : 6
Society   : 6
pictures  : 6
inn       : 6
rush      : 6
respect   : 6
silver    : 6
fathers   : 6
rests     : 6
points    : 6
using     : 6
castle    : 6
description: 6
Her       : 6
eighteen  : 6
worshipped: 6
stupid    : 6
parts     : 6
views     : 6
worms     : 6
repose    : 6
fatigue   : 6
scramble  : 6
split     : 6
unusual   : 6
whichare  : 6
greatest  : 6
Shoguns   : 6
ticket    : 6
distant   : 6
Very      : 6
condition : 6
press     : 6
district  : 6
season    : 6
doma      : 6
splendour : 6
adult     : 6
mind      : 6
bite      : 6
Children  : 6
Director  : 6
residence : 6
becomes   : 6
exactly   : 6
outer     : 6
Office    : 6
landscape : 6
supported : 6
pines     : 6
awoke     : 6
otherwise : 6
stumbling : 6
itwas     : 6
oak       : 6
May       : 6
eventually: 6
Nosoki    : 6
Horses    : 6
speaking  : 6
diseases  : 6
connected : 6
innumerable: 6
details   : 6
isthe     : 6
copy      : 6
drum      : 6
Both      : 6
cost      : 6
swollen   : 6
sister    : 6
wine      : 6
ahead     : 6
service   : 6
period    : 6
spears    : 6
slowly    : 6
playing   : 6
matsuri   : 6
Odate     : 6
funeral   : 6
slept     : 6
sweetness : 6
fumes     : 6
gifts     : 6
escaped   : 6
prevent   : 6
moat      : 6
Yuki      : 6
slips     : 6
suggested : 6
ascends   : 6
boom      : 6
kill      : 6
educated  : 6
wheat     : 6
shades    : 6
wheel     : 6
dancing   : 6
buried    : 6
Shinjo    : 6
adults    : 6
screens   : 6
growing   : 6
centuries : 6
Fujihara  : 6
halt      : 6
exciting  : 6
projecting: 6
Ihad      : 6
try       : 6
waists    : 6
services  : 6
watch     : 6
dying     : 6
start     : 6
motionless: 6
friendly  : 6
sixteen   : 6
ashes     : 6
THE       : 6
quantities: 6
samisen   : 6
occasion  : 6
Mountains : 6
thread    : 6
admitted  : 6
landing   : 6
loss      : 6
thronged  : 6
love      : 6
thatch    : 6
scow      : 6
official  : 6
gates     : 6
springs   : 6
tucked    : 6
Consulate : 6
transport : 6
intothe   : 6
doubtless : 6
hangs     : 6
crests    : 6
venison   : 6
rare      : 6
skill     : 6
maple     : 6
apart     : 6
sees      : 6
courts    : 6
coffin    : 6
overpowering: 6
washing   : 6
introduced: 6
feetlong  : 6
hewn      : 6
verandahs : 6
intelligence: 6
busy      : 6
quietly   : 6
marry     : 6
abundant  : 6
miniature : 6
cheerful  : 6
physique  : 6
fronts    : 6
mares     : 6
fires     : 6
Each      : 6
azaleas   : 6
respectable: 6
zen       : 6
folding   : 6
chests    : 6
